actor_slug,type,title,url,captured_at,note
arendal-bibliotek-arendal,website,Offisiell nettside,https://arendalbibliotek.no/,2026-04-15,
arendal-bibliotek-arendal,map,Google Maps,https://maps.google.com/?cid=3155914572466569594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
aust-agder-bibliotek-og-kulturformidling-arendal,map,Google Maps,https://maps.google.com/?cid=9339325141459967269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
grimstad-bibliotek-grimstad,website,Offisiell nettside,http://www.grimstadbibliotek.no/,2026-04-15,
grimstad-bibliotek-grimstad,map,Google Maps,https://maps.google.com/?cid=6276491916821975728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
risor-bibliotek-risor,website,Offisiell nettside,http://risorbibliotek.no/,2026-04-15,
risor-bibliotek-risor,map,Google Maps,https://maps.google.com/?cid=1994324143136018225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
tvedestrand-folkebibliotek-tvedestrand,website,Offisiell nettside,https://www.tvedestrand.kommune.no/tjenester/bibliotek-kultur-frivillighet-idrett-badepark-og-fritid/tvedestrand-folkebibliotek/,2026-04-15,
tvedestrand-folkebibliotek-tvedestrand,map,Google Maps,https://maps.google.com/?cid=15980026150448235150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
phonefix-arendal-arendal,website,Offisiell nettside,https://phonefix.no/,2026-04-15,
